e+CO2 cross-sections, extrapolated from Mumma et al. [1972]
219.7,6.9299316E-19,1.1275802E-18
219.8,6.9275381E-19,1.1272138E-18
219.9,6.9251466E-19,1.1268478E-18
220,6.9227570E-19,1.1264821E-18
220.1,6.9203693E-19,1.1261168E-18
220.2,6.9179835E-19,1.1257518E-18
220.3,6.9155996E-19,1.1253871E-18
220.4,6.9132176E-19,1.1250228E-18
220.5,6.9108375E-19,1.1246587E-18
220.6,6.9084593E-19,1.1242949E-18
220.7,6.9060830E-19,1.1239313E-18
220.8,6.9037086E-19,1.1235680E-18
220.9,6.9013360E-19,1.1232049E-18
221,6.8989654E-19,1.1228421E-18
221.1,6.8965967E-19,1.1224795E-18
221.2,6.8942298E-19,1.1221172E-18
221.3,6.8918648E-19,1.1217551E-18
221.4,6.8895017E-19,1.1213933E-18
221.5,6.8871405E-19,1.1210317E-18
221.6,6.8847812E-19,1.1206704E-18
221.7,6.8824237E-19,1.1203093E-18
221.8,6.8800681E-19,1.1199484E-18
221.9,6.8777144E-19,1.1195878E-18
222,6.8753625E-19,1.1192273E-18
222.1,6.8730125E-19,1.1188672E-18
222.2,6.8706643E-19,1.1185072E-18
222.3,6.8683180E-19,1.1181475E-18
222.4,6.8659736E-19,1.1177880E-18
222.5,6.8636310E-19,1.1174288E-18
222.6,6.8612903E-19,1.1170697E-18
222.7,6.8589514E-19,1.1167109E-18
222.8,6.8566144E-19,1.1163523E-18
222.9,6.8542792E-19,1.1159939E-18
223,6.8519458E-19,1.1156357E-18
223.1,6.8496143E-19,1.1152778E-18
223.2,6.8472847E-19,1.1149200E-18
223.3,6.8449568E-19,1.1145625E-18
223.4,6.8426308E-19,1.1142052E-18
223.5,6.8403066E-19,1.1138480E-18
223.6,6.8379843E-19,1.1134911E-18
223.7,6.8356638E-19,1.1131344E-18
223.8,6.8333451E-19,1.1127779E-18
223.9,6.8310282E-19,1.1124216E-18
224,6.8287132E-19,1.1120654E-18
224.1,6.8263999E-19,1.1117095E-18
224.2,6.8240885E-19,1.1113538E-18
224.3,6.8217789E-19,1.1109983E-18
224.4,6.8194711E-19,1.1106429E-18
224.5,6.8171651E-19,1.1102878E-18
224.6,6.8148610E-19,1.1099328E-18
224.7,6.8125586E-19,1.1095780E-18
224.8,6.8102580E-19,1.1092234E-18
224.9,6.8079592E-19,1.1088690E-18
225,6.8056623E-19,1.1085147E-18
225.1,6.8033671E-19,1.1081607E-18
225.2,6.8010737E-19,1.1078068E-18
225.3,6.7987821E-19,1.1074531E-18
225.4,6.7964923E-19,1.1070995E-18
225.5,6.7942043E-19,1.1067461E-18
225.6,6.7919180E-19,1.1063929E-18
225.7,6.7896336E-19,1.1060399E-18
225.8,6.7873509E-19,1.1056870E-18
225.9,6.7850700E-19,1.1053343E-18
226,6.7827909E-19,1.1049818E-18
226.1,6.7805135E-19,1.1046294E-18
226.2,6.7782379E-19,1.1042772E-18
226.3,6.7759641E-19,1.1039251E-18
226.4,6.7736921E-19,1.1035732E-18
226.5,6.7714218E-19,1.1032214E-18
226.6,6.7691533E-19,1.1028698E-18
226.7,6.7668865E-19,1.1025184E-18
226.8,6.7646215E-19,1.1021670E-18
226.9,6.7623583E-19,1.1018159E-18
227,6.7600968E-19,1.1014649E-18
227.1,6.7578371E-19,1.1011140E-18
227.2,6.7555791E-19,1.1007632E-18
227.3,6.7533228E-19,1.1004126E-18
227.4,6.7510683E-19,1.1000622E-18
227.5,6.7488156E-19,1.0997118E-18
227.6,6.7465646E-19,1.0993616E-18
227.7,6.7443153E-19,1.0990116E-18
227.8,6.7420678E-19,1.0986616E-18
227.9,6.7398220E-19,1.0983118E-18
228,6.7375779E-19,1.0979621E-18
228.1,6.7353356E-19,1.0976126E-18
228.2,6.7330950E-19,1.0972632E-18
228.3,6.7308561E-19,1.0969138E-18
228.4,6.7286189E-19,1.0965646E-18
228.5,6.7263835E-19,1.0962156E-18
228.6,6.7241498E-19,1.0958666E-18
228.7,6.7219178E-19,1.0955178E-18
228.8,6.7196875E-19,1.0951690E-18
228.9,6.7174590E-19,1.0948204E-18
229,6.7152321E-19,1.0944719E-18
229.1,6.7130070E-19,1.0941235E-18
229.2,6.7107835E-19,1.0937752E-18
229.3,6.7085618E-19,1.0934270E-18
229.4,6.7063418E-19,1.0930789E-18
229.5,6.7041234E-19,1.0927309E-18
229.6,6.7019068E-19,1.0923830E-18
229.7,6.6996919E-19,1.0920351E-18
229.8,6.6974787E-19,1.0916874E-18
229.9,6.6952671E-19,1.0913398E-18
230,6.6930573E-19,1.0909923E-18
230.1,6.6908491E-19,1.0906448E-18
230.2,6.6886427E-19,1.0902975E-18
230.3,6.6864379E-19,1.0899502E-18
230.4,6.6842348E-19,1.0896030E-18
230.5,6.6820334E-19,1.0892559E-18
230.6,6.6798336E-19,1.0889089E-18
230.7,6.6776356E-19,1.0885620E-18
230.8,6.6754392E-19,1.0882151E-18
230.9,6.6732445E-19,1.0878683E-18
231,6.6710514E-19,1.0875216E-18
231.1,6.6688601E-19,1.0871749E-18
231.2,6.6666704E-19,1.0868283E-18
231.3,6.6644823E-19,1.0864818E-18
231.4,6.6622959E-19,1.0861354E-18
231.5,6.6601112E-19,1.0857890E-18
231.6,6.6579282E-19,1.0854427E-18
231.7,6.6557468E-19,1.0850964E-18
231.8,6.6535670E-19,1.0847502E-18
231.9,6.6513889E-19,1.0844040E-18
232,6.6492125E-19,1.0840580E-18
232.1,6.6470377E-19,1.0837119E-18
232.2,6.6448646E-19,1.0833659E-18
232.3,6.6426931E-19,1.0830200E-18
232.4,6.6405232E-19,1.0826741E-18
232.5,6.6383550E-19,1.0823283E-18
232.6,6.6361885E-19,1.0819825E-18
232.7,6.6340235E-19,1.0816367E-18
232.8,6.6318602E-19,1.0812910E-18
232.9,6.6296986E-19,1.0809453E-18
233,6.6275386E-19,1.0805997E-18
233.1,6.6253802E-19,1.0802541E-18
233.2,6.6232234E-19,1.0799085E-18
233.3,6.6210682E-19,1.0795630E-18
233.4,6.6189147E-19,1.0792175E-18
233.5,6.6167628E-19,1.0788720E-18
233.6,6.6146126E-19,1.0785265E-18
233.7,6.6124639E-19,1.0781811E-18
233.8,6.6103169E-19,1.0778357E-18
233.9,6.6081714E-19,1.0774903E-18
234,6.6060276E-19,1.0771449E-18
234.1,6.6038854E-19,1.0767996E-18
234.2,6.6017448E-19,1.0764543E-18
234.3,6.5996058E-19,1.0761089E-18
234.4,6.5974685E-19,1.0757636E-18
234.5,6.5953327E-19,1.0754183E-18
234.6,6.5931985E-19,1.0750731E-18
234.7,6.5910659E-19,1.0747278E-18
234.8,6.5889350E-19,1.0743825E-18
234.9,6.5868056E-19,1.0740372E-18
235,6.5846778E-19,1.0736920E-18
235.1,6.5825516E-19,1.0733467E-18
235.2,6.5804270E-19,1.0730014E-18
235.3,6.5783040E-19,1.0726562E-18
235.4,6.5761825E-19,1.0723109E-18
235.5,6.5740627E-19,1.0719656E-18
235.6,6.5719444E-19,1.0716203E-18
235.7,6.5698278E-19,1.0712750E-18
235.8,6.5677127E-19,1.0709297E-18
235.9,6.5655991E-19,1.0705843E-18
236,6.5634872E-19,1.0702390E-18
236.1,6.5613768E-19,1.0698936E-18
236.2,6.5592680E-19,1.0695482E-18
236.3,6.5571608E-19,1.0692028E-18
236.4,6.5550551E-19,1.0688574E-18
236.5,6.5529510E-19,1.0685119E-18
236.6,6.5508485E-19,1.0681665E-18
236.7,6.5487475E-19,1.0678209E-18
236.8,6.5466481E-19,1.0674754E-18
236.9,6.5445502E-19,1.0671298E-18
237,6.5424539E-19,1.0667842E-18
237.1,6.5403592E-19,1.0664386E-18
237.2,6.5382660E-19,1.0660929E-18
237.3,6.5361744E-19,1.0657472E-18
237.4,6.5340843E-19,1.0654014E-18
237.5,6.5319957E-19,1.0650556E-18
237.6,6.5299088E-19,1.0647098E-18
237.7,6.5278233E-19,1.0643639E-18
237.8,6.5257394E-19,1.0640179E-18
237.9,6.5236570E-19,1.0636719E-18
238,6.5215762E-19,1.0633259E-18
238.1,6.5194969E-19,1.0629798E-18
238.2,6.5174192E-19,1.0626336E-18
238.3,6.5153430E-19,1.0622874E-18
238.4,6.5132683E-19,1.0619411E-18
238.5,6.5111951E-19,1.0615948E-18
238.6,6.5091235E-19,1.0612484E-18
238.7,6.5070534E-19,1.0609020E-18
238.8,6.5049848E-19,1.0605554E-18
238.9,6.5029178E-19,1.0602089E-18
239,6.5008523E-19,1.0598622E-18
239.1,6.4987882E-19,1.0595155E-18
239.2,6.4967258E-19,1.0591687E-18
239.3,6.4946648E-19,1.0588218E-18
239.4,6.4926053E-19,1.0584748E-18
239.5,6.4905474E-19,1.0581278E-18
239.6,6.4884909E-19,1.0577807E-18
239.7,6.4864360E-19,1.0574335E-18
239.8,6.4843826E-19,1.0570862E-18
239.9,6.4823307E-19,1.0567388E-18
240,6.4802803E-19,1.0563914E-18
240.1,6.4782314E-19,1.0560438E-18
240.2,6.4761839E-19,1.0556962E-18
240.3,6.4741380E-19,1.0553485E-18
240.4,6.4720936E-19,1.0550007E-18
240.5,6.4700507E-19,1.0546527E-18
240.6,6.4680093E-19,1.0543047E-18
240.7,6.4659694E-19,1.0539566E-18
240.8,6.4639309E-19,1.0536084E-18
240.9,6.4618940E-19,1.0532601E-18
241,6.4598585E-19,1.0529117E-18
241.1,6.4578245E-19,1.0525631E-18
241.2,6.4557920E-19,1.0522145E-18
241.3,6.4537610E-19,1.0518657E-18
241.4,6.4517315E-19,1.0515169E-18
241.5,6.4497034E-19,1.0511679E-18
241.6,6.4476769E-19,1.0508188E-18
241.7,6.4456517E-19,1.0504696E-18
241.8,6.4436281E-19,1.0501203E-18
241.9,6.4416060E-19,1.0497708E-18
242,6.4395853E-19,1.0494212E-18
242.1,6.4375660E-19,1.0490715E-18
242.2,6.4355483E-19,1.0487217E-18
242.3,6.4335320E-19,1.0483718E-18
242.4,6.4315172E-19,1.0480217E-18
242.5,6.4295038E-19,1.0476715E-18
242.6,6.4274919E-19,1.0473211E-18
242.7,6.4254815E-19,1.0469706E-18
242.8,6.4234725E-19,1.0466200E-18
242.9,6.4214649E-19,1.0462693E-18
243,6.4194589E-19,1.0459184E-18
243.1,6.4174542E-19,1.0455673E-18
243.2,6.4154511E-19,1.0452161E-18
243.3,6.4134493E-19,1.0448648E-18
243.4,6.4114490E-19,1.0445133E-18
243.5,6.4094502E-19,1.0441617E-18
243.6,6.4074528E-19,1.0438099E-18
243.7,6.4054569E-19,1.0434580E-18
243.8,6.4034623E-19,1.0431059E-18
243.9,6.4014693E-19,1.0427536E-18
244,6.3994776E-19,1.0424012E-18
244.1,6.3974874E-19,1.0420487E-18
244.2,6.3954987E-19,1.0416959E-18
244.3,6.3935113E-19,1.0413431E-18
244.4,6.3915254E-19,1.0409900E-18
244.5,6.3895409E-19,1.0406368E-18
244.6,6.3875579E-19,1.0402834E-18
244.7,6.3855763E-19,1.0399298E-18
244.8,6.3835961E-19,1.0395761E-18
244.9,6.3816173E-19,1.0392222E-18
245,6.3796399E-19,1.0388681E-18
245.1,6.3776640E-19,1.0385138E-18
245.2,6.3756895E-19,1.0381594E-18
245.3,6.3737164E-19,1.0378047E-18
245.4,6.3717447E-19,1.0374499E-18
245.5,6.3697744E-19,1.0370949E-18
245.6,6.3678055E-19,1.0367398E-18
245.7,6.3658381E-19,1.0363844E-18
245.8,6.3638720E-19,1.0360288E-18
245.9,6.3619074E-19,1.0356731E-18
246,6.3599442E-19,1.0353171E-18
246.1,6.3579823E-19,1.0349610E-18
246.2,6.3560219E-19,1.0346046E-18
246.3,6.3540629E-19,1.0342481E-18
246.4,6.3521052E-19,1.0338914E-18
246.5,6.3501490E-19,1.0335344E-18
246.6,6.3481942E-19,1.0331773E-18
246.7,6.3462407E-19,1.0328199E-18
246.8,6.3442887E-19,1.0324624E-18
246.9,6.3423380E-19,1.0321046E-18
247,6.3403887E-19,1.0317466E-18
247.1,6.3384408E-19,1.0313884E-18
247.2,6.3364943E-19,1.0310298E-18
247.3,6.3345492E-19,1.0306708E-18
247.4,6.3326055E-19,1.0303116E-18
247.5,6.3306632E-19,1.0299519E-18
247.6,6.3287222E-19,1.0295920E-18
247.7,6.3267826E-19,1.0292317E-18
247.8,6.3248444E-19,1.0288710E-18
247.9,6.3229075E-19,1.0285101E-18
248,6.3209721E-19,1.0281488E-18
248.1,6.3190380E-19,1.0277873E-18
248.2,6.3171053E-19,1.0274254E-18
248.3,6.3151739E-19,1.0270632E-18
248.4,6.3132439E-19,1.0267007E-18
248.5,6.3113153E-19,1.0263379E-18
248.6,6.3093881E-19,1.0259748E-18
248.7,6.3074622E-19,1.0256115E-18
248.8,6.3055376E-19,1.0252479E-18
248.9,6.3036145E-19,1.0248840E-18
249,6.3016927E-19,1.0245198E-18
249.1,6.2997722E-19,1.0241554E-18
249.2,6.2978531E-19,1.0237907E-18
249.3,6.2959354E-19,1.0234258E-18
249.4,6.2940190E-19,1.0230606E-18
249.5,6.2921039E-19,1.0226952E-18
249.6,6.2901903E-19,1.0223296E-18
249.7,6.2882779E-19,1.0219637E-18
249.8,6.2863669E-19,1.0215976E-18
249.9,6.2844573E-19,1.0212313E-18
250,6.2825490E-19,1.0208647E-18
250.1,6.2806420E-19,1.0204980E-18
250.2,6.2787364E-19,1.0201310E-18
250.3,6.2768321E-19,1.0197639E-18
250.4,6.2749292E-19,1.0193965E-18
250.5,6.2730275E-19,1.0190290E-18
250.6,6.2711273E-19,1.0186613E-18
250.7,6.2692283E-19,1.0182934E-18
250.8,6.2673307E-19,1.0179253E-18
250.9,6.2654344E-19,1.0175571E-18
251,6.2635395E-19,1.0171887E-18
251.1,6.2616459E-19,1.0168201E-18
251.2,6.2597536E-19,1.0164514E-18
251.3,6.2578626E-19,1.0160826E-18
251.4,6.2559730E-19,1.0157136E-18
251.5,6.2540846E-19,1.0153445E-18
251.6,6.2521976E-19,1.0149752E-18
251.7,6.2503120E-19,1.0146058E-18
251.8,6.2484276E-19,1.0142363E-18
251.9,6.2465445E-19,1.0138667E-18
252,6.2446628E-19,1.0134969E-18
252.1,6.2427824E-19,1.0131271E-18
252.2,6.2409033E-19,1.0127571E-18
252.3,6.2390255E-19,1.0123871E-18
252.4,6.2371490E-19,1.0120170E-18
252.5,6.2352738E-19,1.0116467E-18
252.6,6.2333999E-19,1.0112764E-18
252.7,6.2315273E-19,1.0109061E-18
252.8,6.2296560E-19,1.0105356E-18
252.9,6.2277861E-19,1.0101651E-18
253,6.2259174E-19,1.0097946E-18
253.1,6.2240500E-19,1.0094239E-18
253.2,6.2221840E-19,1.0090533E-18
253.3,6.2203192E-19,1.0086826E-18
253.4,6.2184557E-19,1.0083118E-18
253.5,6.2165935E-19,1.0079410E-18
253.6,6.2147326E-19,1.0075702E-18
253.7,6.2128730E-19,1.0071994E-18
253.8,6.2110147E-19,1.0068285E-18
253.9,6.2091576E-19,1.0064576E-18
254,6.2073019E-19,1.0060868E-18
254.1,6.2054474E-19,1.0057159E-18
254.2,6.2035943E-19,1.0053450E-18
254.3,6.2017424E-19,1.0049742E-18
254.4,6.1998917E-19,1.0046033E-18
254.5,6.1980424E-19,1.0042325E-18
254.6,6.1961944E-19,1.0038617E-18
254.7,6.1943476E-19,1.0034909E-18
254.8,6.1925021E-19,1.0031201E-18
254.9,6.1906578E-19,1.0027494E-18
255,6.1888149E-19,1.0023787E-18
255.1,6.1869732E-19,1.0020081E-18
255.2,6.1851328E-19,1.0016376E-18
255.3,6.1832936E-19,1.0012671E-18
255.4,6.1814557E-19,1.0008966E-18
255.5,6.1796191E-19,1.0005262E-18
255.6,6.1777837E-19,1.0001560E-18
255.7,6.1759497E-19,9.9978574E-19
255.8,6.1741168E-19,9.9941561E-19
255.9,6.1722852E-19,9.9904557E-19
256,6.1704549E-19,9.9867563E-19
256.1,6.1686259E-19,9.9830579E-19
256.2,6.1667981E-19,9.9793606E-19
256.3,6.1649715E-19,9.9756643E-19
256.4,6.1631462E-19,9.9719692E-19
256.5,6.1613222E-19,9.9682754E-19
256.6,6.1594994E-19,9.9645828E-19
256.7,6.1576779E-19,9.9608915E-19
256.8,6.1558576E-19,9.9572016E-19
256.9,6.1540385E-19,9.9535131E-19
257,6.1522207E-19,9.9498261E-19
257.1,6.1504042E-19,9.9461406E-19
257.2,6.1485889E-19,9.9424567E-19
257.3,6.1467748E-19,9.9387744E-19
257.4,6.1449619E-19,9.9350938E-19
257.5,6.1431504E-19,9.9314150E-19
257.6,6.1413400E-19,9.9277379E-19
257.7,6.1395309E-19,9.9240626E-19
257.8,6.1377230E-19,9.9203893E-19
257.9,6.1359163E-19,9.9167179E-19
258,6.1341109E-19,9.9130484E-19
258.1,6.1323067E-19,9.9093811E-19
258.2,6.1305037E-19,9.9057158E-19
258.3,6.1287020E-19,9.9020526E-19
258.4,6.1269015E-19,9.8983917E-19
258.5,6.1251022E-19,9.8947330E-19
258.6,6.1233042E-19,9.8910766E-19
258.7,6.1215073E-19,9.8874225E-19
258.8,6.1197117E-19,9.8837709E-19
258.9,6.1179173E-19,9.8801217E-19
259,6.1161241E-19,9.8764750E-19
259.1,6.1143322E-19,9.8728309E-19
259.2,6.1125414E-19,9.8691894E-19
259.3,6.1107519E-19,9.8655506E-19
259.4,6.1089636E-19,9.8619144E-19
259.5,6.1071765E-19,9.8582811E-19
259.6,6.1053906E-19,9.8546505E-19
259.7,6.1036059E-19,9.8510229E-19
259.8,6.1018224E-19,9.8473981E-19
259.9,6.1000402E-19,9.8437763E-19
260,6.0982591E-19,9.8401576E-19
260.1,6.0964793E-19,9.8365419E-19
260.2,6.0947006E-19,9.8329293E-19
260.3,6.0929232E-19,9.8293200E-19
260.4,6.0911469E-19,9.8257138E-19
260.5,6.0893719E-19,9.8221110E-19
260.6,6.0875980E-19,9.8185114E-19
260.7,6.0858254E-19,9.8149153E-19
260.8,6.0840539E-19,9.8113226E-19
260.9,6.0822836E-19,9.8077334E-19
261,6.0805146E-19,9.8041477E-19
261.1,6.0787467E-19,9.8005657E-19
261.2,6.0769800E-19,9.7969872E-19
261.3,6.0752145E-19,9.7934125E-19
261.4,6.0734502E-19,9.7898415E-19
261.5,6.0716871E-19,9.7862743E-19
261.6,6.0699251E-19,9.7827110E-19
261.7,6.0681644E-19,9.7791516E-19
261.8,6.0664048E-19,9.7755961E-19
261.9,6.0646464E-19,9.7720446E-19
262,6.0628892E-19,9.7684972E-19
262.1,6.0611332E-19,9.7649539E-19
262.2,6.0593783E-19,9.7614148E-19
262.3,6.0576247E-19,9.7578798E-19
262.4,6.0558722E-19,9.7543492E-19
262.5,6.0541208E-19,9.7508228E-19
262.6,6.0523707E-19,9.7473009E-19
262.7,6.0506217E-19,9.7437833E-19
262.8,6.0488739E-19,9.7402702E-19
262.9,6.0471273E-19,9.7367617E-19
263,6.0453818E-19,9.7332577E-19
263.1,6.0436375E-19,9.7297583E-19
263.2,6.0418944E-19,9.7262636E-19
263.3,6.0401524E-19,9.7227737E-19
263.4,6.0384116E-19,9.7192885E-19
263.5,6.0366719E-19,9.7158069E-19
263.6,6.0349334E-19,9.7123276E-19
263.7,6.0331961E-19,9.7088507E-19
263.8,6.0314600E-19,9.7053760E-19
263.9,6.0297249E-19,9.7019037E-19
264,6.0279911E-19,9.6984337E-19
264.1,6.0262584E-19,9.6949660E-19
264.2,6.0245268E-19,9.6915006E-19
264.3,6.0227965E-19,9.6880374E-19
264.4,6.0210672E-19,9.6845765E-19
264.5,6.0193391E-19,9.6811178E-19
264.6,6.0176122E-19,9.6776613E-19
264.7,6.0158864E-19,9.6742071E-19
264.8,6.0141617E-19,9.6707551E-19
264.9,6.0124382E-19,9.6673053E-19
265,6.0107159E-19,9.6638576E-19
265.1,6.0089947E-19,9.6604122E-19
265.2,6.0072746E-19,9.6569689E-19
265.3,6.0055557E-19,9.6535277E-19
265.4,6.0038379E-19,9.6500887E-19
265.5,6.0021212E-19,9.6466518E-19
265.6,6.0004057E-19,9.6432170E-19
265.7,5.9986913E-19,9.6397843E-19
265.8,5.9969781E-19,9.6363537E-19
265.9,5.9952659E-19,9.6329252E-19
266,5.9935550E-19,9.6294987E-19
266.1,5.9918451E-19,9.6260743E-19
266.2,5.9901364E-19,9.6226520E-19
266.3,5.9884288E-19,9.6192317E-19
266.4,5.9867223E-19,9.6158133E-19
266.5,5.9850170E-19,9.6123970E-19
266.6,5.9833128E-19,9.6089827E-19
266.7,5.9816097E-19,9.6055704E-19
266.8,5.9799077E-19,9.6021601E-19
266.9,5.9782069E-19,9.5987517E-19
267,5.9765072E-19,9.5953452E-19
267.1,5.9748086E-19,9.5919407E-19
267.2,5.9731111E-19,9.5885381E-19
267.3,5.9714147E-19,9.5851374E-19
267.4,5.9697194E-19,9.5817387E-19
267.5,5.9680253E-19,9.5783418E-19
267.6,5.9663323E-19,9.5749468E-19
267.7,5.9646404E-19,9.5715536E-19
267.8,5.9629496E-19,9.5681624E-19
267.9,5.9612599E-19,9.5647729E-19
268,5.9595713E-19,9.5613853E-19
268.1,5.9578838E-19,9.5579995E-19
268.2,5.9561975E-19,9.5546155E-19
268.3,5.9545122E-19,9.5512333E-19
268.4,5.9528281E-19,9.5478529E-19
268.5,5.9511450E-19,9.5444742E-19
268.6,5.9494631E-19,9.5410973E-19
268.7,5.9477822E-19,9.5377222E-19
268.8,5.9461025E-19,9.5343488E-19
268.9,5.9444238E-19,9.5309771E-19
269,5.9427463E-19,9.5276071E-19
269.1,5.9410698E-19,9.5242389E-19
269.2,5.9393944E-19,9.5208723E-19
269.3,5.9377202E-19,9.5175074E-19
269.4,5.9360470E-19,9.5141441E-19
269.5,5.9343749E-19,9.5107825E-19
269.6,5.9327039E-19,9.5074226E-19
269.7,5.9310340E-19,9.5040643E-19
269.8,5.9293652E-19,9.5007076E-19
269.9,5.9276975E-19,9.4973525E-19
270,5.9260309E-19,9.4939990E-19
270.1,5.9243653E-19,9.4906471E-19
270.2,5.9227009E-19,9.4872967E-19
270.3,5.9210375E-19,9.4839479E-19
270.4,5.9193752E-19,9.4806007E-19
270.5,5.9177139E-19,9.4772550E-19
270.6,5.9160538E-19,9.4739108E-19
270.7,5.9143947E-19,9.4705681E-19
270.8,5.9127368E-19,9.4672269E-19
270.9,5.9110799E-19,9.4638872E-19
271,5.9094240E-19,9.4605490E-19
271.1,5.9077693E-19,9.4572123E-19
271.2,5.9061156E-19,9.4538770E-19
271.3,5.9044630E-19,9.4505431E-19
271.4,5.9028114E-19,9.4472107E-19
271.5,5.9011610E-19,9.4438797E-19
271.6,5.8995116E-19,9.4405501E-19
271.7,5.8978632E-19,9.4372219E-19
271.8,5.8962160E-19,9.4338950E-19
271.9,5.8945698E-19,9.4305696E-19
272,5.8929246E-19,9.4272455E-19
272.1,5.8912806E-19,9.4239227E-19
272.2,5.8896376E-19,9.4206013E-19
272.3,5.8879956E-19,9.4172812E-19
272.4,5.8863547E-19,9.4139624E-19
272.5,5.8847149E-19,9.4106449E-19
272.6,5.8830761E-19,9.4073287E-19
272.7,5.8814384E-19,9.4040138E-19
272.8,5.8798018E-19,9.4007001E-19
272.9,5.8781662E-19,9.3973877E-19
273,5.8765316E-19,9.3940765E-19
273.1,5.8748981E-19,9.3907666E-19
273.2,5.8732657E-19,9.3874578E-19
273.3,5.8716343E-19,9.3841503E-19
273.4,5.8700040E-19,9.3808440E-19
273.5,5.8683747E-19,9.3775388E-19
273.6,5.8667464E-19,9.3742348E-19
273.7,5.8651192E-19,9.3709320E-19
273.8,5.8634931E-19,9.3676303E-19
273.9,5.8618680E-19,9.3643298E-19
274,5.8602439E-19,9.3610304E-19
274.1,5.8586209E-19,9.3577321E-19
274.2,5.8569989E-19,9.3544348E-19
274.3,5.8553779E-19,9.3511387E-19
274.4,5.8537580E-19,9.3478437E-19
274.5,5.8521392E-19,9.3445497E-19
274.6,5.8505213E-19,9.3412567E-19
274.7,5.8489046E-19,9.3379648E-19
274.8,5.8472888E-19,9.3346739E-19
274.9,5.8456741E-19,9.3313841E-19
275,5.8440604E-19,9.3280952E-19
275.1,5.8424477E-19,9.3248074E-19
275.2,5.8408361E-19,9.3215205E-19
275.3,5.8392255E-19,9.3182346E-19
275.4,5.8376159E-19,9.3149496E-19
275.5,5.8360074E-19,9.3116656E-19
275.6,5.8343999E-19,9.3083825E-19
275.7,5.8327934E-19,9.3051004E-19
275.8,5.8311879E-19,9.3018191E-19
275.9,5.8295835E-19,9.2985388E-19
276,5.8279801E-19,9.2952593E-19
276.1,5.8263777E-19,9.2919807E-19
276.2,5.8247763E-19,9.2887030E-19
276.3,5.8231760E-19,9.2854261E-19
276.4,5.8215766E-19,9.2821501E-19
276.5,5.8199783E-19,9.2788749E-19
276.6,5.8183810E-19,9.2756005E-19
276.7,5.8167847E-19,9.2723269E-19
276.8,5.8151894E-19,9.2690541E-19
276.9,5.8135952E-19,9.2657821E-19
277,5.8120019E-19,9.2625108E-19
277.1,5.8104097E-19,9.2592403E-19
277.2,5.8088185E-19,9.2559706E-19
277.3,5.8072283E-19,9.2527016E-19
277.4,5.8056391E-19,9.2494333E-19
277.5,5.8040509E-19,9.2461657E-19
277.6,5.8024637E-19,9.2428988E-19
277.7,5.8008775E-19,9.2396326E-19
277.8,5.7992923E-19,9.2363670E-19
277.9,5.7977081E-19,9.2331022E-19
278,5.7961249E-19,9.2298379E-19
278.1,5.7945428E-19,9.2265744E-19
278.2,5.7929616E-19,9.2233114E-19
278.3,5.7913814E-19,9.2200491E-19
278.4,5.7898022E-19,9.2167873E-19
278.5,5.7882241E-19,9.2135262E-19
278.6,5.7866469E-19,9.2102656E-19
278.7,5.7850707E-19,9.2070056E-19
278.8,5.7834955E-19,9.2037462E-19
278.9,5.7819213E-19,9.2004873E-19
279,5.7803481E-19,9.1972289E-19
279.1,5.7787759E-19,9.1939710E-19
279.2,5.7772046E-19,9.1907137E-19
279.3,5.7756344E-19,9.1874569E-19
279.4,5.7740652E-19,9.1842005E-19
279.5,5.7724969E-19,9.1809446E-19
279.6,5.7709296E-19,9.1776892E-19
279.7,5.7693634E-19,9.1744342E-19
279.8,5.7677980E-19,9.1711797E-19
279.9,5.7662337E-19,9.1679256E-19
280,5.7646704E-19,9.1646719E-19
280.1,5.7631080E-19,9.1614186E-19
280.2,5.7615467E-19,9.1581657E-19
280.3,5.7599863E-19,9.1549132E-19
280.4,5.7584269E-19,9.1516610E-19
280.5,5.7568684E-19,9.1484092E-19
280.6,5.7553110E-19,9.1451577E-19
280.7,5.7537545E-19,9.1419066E-19
280.8,5.7521990E-19,9.1386558E-19
280.9,5.7506445E-19,9.1354053E-19
281,5.7490909E-19,9.1321551E-19
281.1,5.7475383E-19,9.1289052E-19
281.2,5.7459867E-19,9.1256555E-19
281.3,5.7444360E-19,9.1224061E-19
281.4,5.7428864E-19,9.1191570E-19
281.5,5.7413377E-19,9.1159081E-19
281.6,5.7397899E-19,9.1126594E-19
281.7,5.7382432E-19,9.1094110E-19
281.8,5.7366973E-19,9.1061627E-19
281.9,5.7351525E-19,9.1029146E-19
282,5.7336086E-19,9.0996667E-19
282.1,5.7320657E-19,9.0964190E-19
282.2,5.7305237E-19,9.0931715E-19
282.3,5.7289828E-19,9.0899240E-19
282.4,5.7274427E-19,9.0866767E-19
282.5,5.7259036E-19,9.0834296E-19
282.6,5.7243655E-19,9.0801825E-19
282.7,5.7228284E-19,9.0769355E-19
282.8,5.7212922E-19,9.0736886E-19
282.9,5.7197569E-19,9.0704418E-19
283,5.7182226E-19,9.0671950E-19
283.1,5.7166893E-19,9.0639483E-19
283.2,5.7151569E-19,9.0607017E-19
283.3,5.7136255E-19,9.0574550E-19
283.4,5.7120950E-19,9.0542084E-19
283.5,5.7105654E-19,9.0509618E-19
283.6,5.7090368E-19,9.0477151E-19
